QUARTIER,lat,lng,temp,activated,temp_with_noise
60,51.2789043217969,7.222100630468603,18,True,17.07
71,51.26333454124482,7.205514342635314,18,True,17.3
12,51.25245354829065,7.113567465920332,18,True,18.76
91,51.2294065918539,7.216236328450002,18,True,18.3
30,51.232529737569855,7.074558147146275,18,True,18.68
02,51.26406801875362,7.154884544924094,18,True,17.14
32,51.239986984051676,7.070425421497281,18,True,18.37
34,51.24948194489895,7.080290809841051,18,True,18.18
53,51.27376159511191,7.168483524276788,18,True,17.07
13,51.25813216125967,7.125473583740884,18,True,17.62
37,51.21865837343532,7.065457327537728,18,True,17.73
01,51.261608235004395,7.1388739229694,18,True,17.32
44,51.19152192793382,7.129958036777937,18,True,17.97
85,51.280089411141,7.259022318794263,18,True,18.69
46,51.191181397250745,7.118045106925125,18,True,18.91
00,51.25592193279821,7.147688976134952,18,True,17.67
81,51.268898734902386,7.23700919848804,18,True,18.44
51,51.26441042684459,7.181337507074507,18,True,17.98
58,51.25360863281763,7.16966851854485,18,True,18.58
10,51.24142413016997,7.0955058919511105,18,True,17.51
52,51.266955085781646,7.174278356799994,18,True,18.61
92,51.226716456773076,7.22490235929923,18,True,17.17
62,51.28737658087124,7.214828944585625,18,True,18.49
93,51.22081946065239,7.206743963395238,18,True,17.99
16,51.226431425794736,7.102175567567423,18,True,17.29
14,51.2491919995458,7.1281744627972055,18,True,18.34
84,51.28818942704197,7.247991550421376,18,True,18.48
61,51.28101353809817,7.2157529706670696,18,True,17.21
54,51.27235744892482,7.185691427263908,18,True,17.86
35,51.24396193994596,7.087481463394599,18,True,18.01
80,51.2737420570905,7.2437649644613895,18,True,18.38
82,51.28118728374918,7.245221339242626,18,True,18.15
03,51.25249830515246,7.15233303592695,18,True,18.9
50,51.273178921229515,7.200360107628687,18,True,17.49
83,51.282254752734296,7.23537863017384,18,True,17.9
